Username,Komentar,Label
kemenkes_ri,"Vaksinasi bukan hanya buat kamu, tapi untuk kesehatan dan keselamatan kita semua. Yuk segera vaksinasi, karena semakin cepat divaksinasi, maka semakin cepat pula kekebalan kelompok terbentuk. Tapi ingat, walaupun udah divaksin, protokol kesehatan harus tetap dijalankan secara ketat Salam sehat!",Positif
hafeezhito,"Please kemenkes, segera lebih permudah lagi akses masyarakat untuk vaksin ya.",Positif
meidinti89,"Iya bener bgt, vaksin sangat membantu untuk meringkan gejala covid. Ini nyata krn keluarga saya sedang berjuang melawan covid dan sudah divaksin semua, jd gejalanya tdk terllau berat.",Positif
fridaliviana,Coba ya sistem vaksinasi kyak sistem coblos pilkada. Jadi per RT RW para nakes yg nyamperin. Bergiliran juga gpp jadi mengurangi kerumunan.. Misalnya hari ini  RW brp aja. Besok beda RW. Kalo sekarang liat orang berkerumun dengan jumlah banyak untuk vaksinasi di mall. Duh lebih serem deh. Belum di vaksin eh malah kena duluan.,Negatif
karelapaska,"Yang anak rantau KTP masih daerah asal jd anak tiri , padahal yg rantau paling gencer g boleh pulkam g boleh mudik. ?? tp sosialisasi dan pendaftaran vaksin cuma buat KTP setempat. Gimana yaaa gimana yaaaa",Negatif
baby_dm.rita,"Pak buk , saya mau tanya tentang berita* yg muncul setelah di vaksin lumpuh dll, itu apa yg sebenarnya terjad?",Negatif
agushng,Ini saya bingung mau vaksin tapi slotnya penuh semua..,Negatif
malihadafi,"Tadi coba daftar vaksin datang langusng tp panitianya gak respect, sedih banget dan akhirnya ttp gak dapat vaksin",Negatif
anggunparamita11,Saya umr 19 thn blm bikin KTP jadi Ga Vaksin Gppa Mungkin ya ??,Negatif
dindarsaputri,"Katanya setelah vaksin pertama kalo positif covid harus ngulang. Dan bisa saja sebelum vaksin ada yg sudah terinfeksi/virus masih inkubasi, belum lagi dalam jarak dosis satu ke dosis kedua mungkin ada yg terinfeksi dari lingkungan rumah atau kerja. Nah kalo ternyata banyak yg ngulang gimana bisa 70% ya?",Negatif
altairyuuka,"Pengen bgt bisa vaksin, tapi belom kebagian jadwal??",Positif
donnaes07,Mau bgt divaksin..sdh kesana kemari sll kuotanya hbs.terakhir di kelurahan .hbs kuotanya..tidak ada koordinasi antara RT RW jd kita warga tidak tau berita..pwmerintah Bekasi gimana ??,Negatif
freaslys,Min @kemenkes_ri  mau pfizer. Bayar di (-1jt) pun gpp....bikin vidio sekanario yg nyata... Seperti tdk jaga kesehatan . Kenak ?? virus. Mati /keluarga mati nangis 2...sedih. br bikin vidio kedua . Org yg ud di vaksin gk jd mati. Keluarga sehat semua... Bebas corona jaga kesehatan gt Lho .. dan add pasang iklan d mana2  dan tiap tv harus tayang kan iklan gt lho.bukan di goreng dan takut2in  gt. Cm saran aja....,Positif
rizkasoewandhi,"gmn mau vaksin min @kemenkes_ri dtg kmn2 kuota penuh, kalo ga sesuai KTP di tolak, bisa ga ya kira2 lebih fleksibel begitu, dimana aja yg lebih dekat dri rumah, biar ndak kluar rumah jauh2.",Negatif
ade_agusta034,Apakah vaksin C19 aman untuk penyitas Autoimun ? Atau apakah kami yg Autoimun bisa di berikan vaksinasi ?  Mohon infonya.,Netral
justiwanaja,Vaksin ke 3 untuk sinovac kapan ya @kemenkes_ri ? Trims,Positif
rizki_pray,"Vaksinisasi, apakah vaksin itu berpengaruh dengan varian"" covid lain nya kah? *coba bertanya sapa tau di jawab yakan??????",Netral
fatkhanbeltrame09,Kapan bisa bebas spt dlu? Nunggu divaksin 50% dr jumlah penduduk ya berarti?? #Nanya,Netral
maszlhoeura,Mau vaksin nusantara min,Positif
relaxsmusik,jelaskan kepada kami kasus orang yg meninggal setelah beberapa hari di vaksin,Negatif
nana_imnid4,Gimana nih jadwal vaksin keluar saat bapilpa ????? apa boleh diundur?,Netral
meylan2191,"Di daerah kami...ada kalangan masyarakat yg gk mau d vaksin..dari pihak pemerintah telah mengeluarkan statmen klau masyrakt tdk mau d vaksin,klu ada keperluan pengurusan hal penting d kantr mereka tidak akan melayani dan itu akan d layani apabila ad tnda bukti vaksinasi...trs bagaimana ini...in pengacaman atw apa dr pihak pemerintah kami...mohon pencerahannya",Negatif
dwi_ruslie,Percuma donk dok vaksin kalau harus pakai masker,Negatif
erwin_wijaya__,"@kemenkes_ri  maaf min, guna vaksin apa ya?, temen saya habis vaksin malah positif covid, padahal tadinya dy fisik kuat, setelah vaksin malah positif ??",Negatif
an_gela3967,Mau minta tlg diinfo ke kemenkes_ri & dinkes utk vaksin umur 18thn ke atas dipermudah jalurnya jgn ribet syaratnya jg aturannya yg masih 50rhn ke atas saja. Krn di jogja utk umur 18thn ke atas msh blm dibuka. Siapa tau ada yg baca ini trus bisa dipermudah bagi org2 yg mau vaksin sehingga apa yg selalu didengungkan vaksin vaksin oleh presiden serta prmerintag bisa cepat tercapai maximal. Trm ksh ??,Positif
nurul_rachma94,"belum kebagian jadwal.vaksin, gmna biar dapat",Negatif
entris01,"Anakku sudah vaksin 2 X , tapi susah menjalankan yg tambahan 2 M itu .??. Aku mengingat itu ,  malah dibilang alay .  Jd malas ngomongin ??",Positif
novandrowp,"Pak mau tanya, saya sudah divaksin tetapi belum ada informasi untuk vaksin kedua, dan saat saya cek app untuk data org yg sudah di vaksin tp NIK saya tidak termasuk, kira2 harus kemana ya  untuk memastikan lokasi vaksin kedua dan mendapatkan sertifikat sudah divaksin??? Terima kasih.",Positif
nhatheacllucyg,Andai vaksin dalam bentuk kapsul saya pasti paling depan saya takut jarum suntik soalnya jadi gak berani vaksin takut pingsan di tempat,Negatif
__shxrly__,@kemenkes_ri bisa daftar online kah? Saya coba cari informasi ttg vaksin tapi sangat sulit. Ada dari broadcast WA tp belum tentu valid.,Negatif
santi3a,Yuk vaksin utk ?????,Positif
de_brother85,@kemenkes_ri TOLONG DI JAWAB PERTANYAAN SAYA... PEMERINTAH SDG MENCANANGKAN VAKSIN SY WARGA YG SIAP DI VAKSIN TP MSH KHAWATIR DGN PENYAKIT ASMA SAYA DAN SY IBU MENYUSUI...SY DAN BAYI SY JG INGIN SELAMAT,Negatif
192312_goldwings,Msh bgung trs fungsi vaksin itu apa ?,Negatif
dewisays_,"@kemenkes_ri @drtanshotyen Klo ada riwayat komorbid asma dan alergi parah bagaimana? Bisakah mendaftar vaksin? Januari 2021 lalu saya juga baru sembuh dari covid19, mohon pencerahannya ??... takutnya krn ada komorbid, saya malah ditolak vaksin.",Netral
iteltel,Mau vaksin tapi takut kalo ada penyakit bawaan,Positif
arianihondawahana,Tolong saya vaksinya astrazenecca badan pegel2 kek digebukin org sekampung panas demam apakaha berbahaya?,Negatif
bada_11406,Masyarakat Harus pake vaksin pejabat ??,Negatif
jrikhsan19,"vaksinasi minimal 180juta penduduk, laju vaksinasi 1juta/hari, berarti 30juta/sebulan, berarti sabar pandemi&prokes 6bulan lagi itupun baru separo dosis alias suntikan pertama??",Positif
rifnadahliana2020,Sekarang ini vaksin ngak di vaksin .. berita nya tolong jangan kematian aja ngapa ?!!!,Negatif
ainurjhoz,Tensi darah yg tinggi apa bisa d vaksin,Positif
richofebriadi,"Mau nanya min,saya sudah vaksin tahap 2 tanggal 26 juni 2021 kemarin.tapi kenapa sampai sekarang saya belum dapat sms confim sertifikat nya ya min? Sudah saya cek di peduli lindungi,tdak ada juga sert",Positif
