Komentar,Case Folding,Remove Number & Remove Punctuation,Tokenizing,Remove Stop Word,Stemming,Perbaikan Kata
"Vaksinasi bukan hanya buat kamu, tapi untuk kesehatan dan keselamatan kita semua. Yuk segera vaksinasi, karena semakin cepat divaksinasi, maka semakin cepat pula kekebalan kelompok terbentuk. Tapi ingat, walaupun udah divaksin, protokol kesehatan harus tetap dijalankan secara ketat Salam sehat!",vaksinasi bukan hanya buat kamu tapi untuk kesehatan dan keselamatan kita semua yuk segera vaksinasi karena semakin cepat divaksinasi maka semakin cepat pula kekebalan kelompok terbentuk tapi ingat walaupun udah divaksin protokol kesehatan harus tetap dijalankan secara ketat salam sehat,vaksinasi bukan hanya buat kamu tapi untuk kesehatan dan keselamatan kita semua yuk segera vaksinasi karena semakin cepat divaksinasi maka semakin cepat pula kekebalan kelompok terbentuk tapi ingat walaupun udah divaksin protokol kesehatan harus tetap dijalankan secara ketat salam sehat,"['vaksinasi', 'bukan', 'hanya', 'buat', 'kamu', 'tapi', 'untuk', 'kesehatan', 'dan', 'keselamatan', 'kita', 'semua', 'yuk', 'segera', 'vaksinasi', 'karena', 'semakin', 'cepat', 'divaksinasi', 'maka', 'semakin', 'cepat', 'pula', 'kekebalan', 'kelompok', 'terbentuk', 'tapi', 'ingat', 'walaupun', 'udah', 'divaksin', 'protokol', 'kesehatan', 'harus', 'tetap', 'dijalankan', 'secara', 'ketat', 'salam', 'sehat']","['vaksinasi', 'kesehatan', 'keselamatan', 'yuk', 'vaksinasi', 'cepat', 'divaksinasi', 'cepat', 'kekebalan', 'kelompok', 'terbentuk', 'udah', 'divaksin', 'protokol', 'kesehatan', 'dijalankan', 'ketat', 'salam', 'sehat']","['vaksinasi', 'sehat', 'selamat', 'yuk', 'vaksinasi', 'cepat', 'vaksinasi', 'cepat', 'kebal', 'kelompok', 'bentuk', 'udah', 'vaksin', 'protokol', 'sehat', 'jalan', 'ketat', 'salam', 'sehat']",vaksinasi sehat selamat yuk vaksinasi cepat vaksinasi cepat kebal kelompok bentuk sudah vaksin protokol sehat jalan ketat salam sehat
"Please kemenkes, segera lebih permudah lagi akses masyarakat untuk vaksin ya.",please kemenkes segera lebih permudah lagi akses masyarakat untuk vaksin ya,please kemenkes segera lebih permudah lagi akses masyarakat untuk vaksin ya,"['please', 'kemenkes', 'segera', 'lebih', 'permudah', 'lagi', 'akses', 'masyarakat', 'untuk', 'vaksin', 'ya']","['please', 'kemenkes', 'permudah', 'akses', 'masyarakat', 'vaksin', 'ya']","['please', 'kemenkes', 'mudah', 'akses', 'masyarakat', 'vaksin', 'ya']",tolong kemenkes mudah akses masyarakat vaksin ya
"Iya bener bgt, vaksin sangat membantu untuk meringkan gejala covid. Ini nyata krn keluarga saya sedang berjuang melawan covid dan sudah divaksin semua, jd gejalanya tdk terllau berat.",iya bener bgt vaksin sangat membantu untuk meringkan gejala covid ini nyata krn keluarga saya sedang berjuang melawan covid dan sudah divaksin semua jd gejalanya tdk terllau berat,iya bener bgt vaksin sangat membantu untuk meringkan gejala covid ini nyata krn keluarga saya sedang berjuang melawan covid dan sudah divaksin semua jd gejalanya tdk terllau berat,"['iya', 'bener', 'bgt', 'vaksin', 'sangat', 'membantu', 'untuk', 'meringkan', 'gejala', 'covid', 'ini', 'nyata', 'krn', 'keluarga', 'saya', 'sedang', 'berjuang', 'melawan', 'covid', 'dan', 'sudah', 'divaksin', 'semua', 'jd', 'gejalanya', 'tdk', 'terllau', 'berat']","['iya', 'bener', 'bgt', 'vaksin', 'membantu', 'meringkan', 'gejala', 'covid', 'nyata', 'krn', 'keluarga', 'berjuang', 'melawan', 'covid', 'divaksin', 'jd', 'gejalanya', 'tdk', 'terllau', 'berat']","['iya', 'bener', 'bgt', 'vaksin', 'bantu', 'mering', 'gejala', 'covid', 'nyata', 'krn', 'keluarga', 'juang', 'lawan', 'covid', 'vaksin', 'jd', 'gejala', 'tdk', 'terllau', 'berat']",iya benar banget vaksin bantu ringan gejala covid nyata karena keluarga juang lawan covid vaksin jadi gejala tidak terlalu berat
Coba ya sistem vaksinasi kyak sistem coblos pilkada. Jadi per RT RW para nakes yg nyamperin. Bergiliran juga gpp jadi mengurangi kerumunan.. Misalnya hari ini  RW brp aja. Besok beda RW. Kalo sekarang liat orang berkerumun dengan jumlah banyak untuk vaksinasi di mall. Duh lebih serem deh. Belum di vaksin eh malah kena duluan.,coba ya sistem vaksinasi kyak sistem coblos pilkada jadi per rt rw para nakes yg nyamperin bergiliran juga gpp jadi mengurangi kerumunan misalnya hari ini rw brp aja besok beda rw kalo sekarang liat orang berkerumun dengan jumlah banyak untuk vaksinasi di mall duh lebih serem deh belum di vaksin eh malah kena duluan,coba ya sistem vaksinasi kyak sistem coblos pilkada jadi per rt rw para nakes yg nyamperin bergiliran juga gpp jadi mengurangi kerumunan misalnya hari ini rw brp aja besok beda rw kalo sekarang liat orang berkerumun dengan jumlah banyak untuk vaksinasi di mall duh lebih serem deh belum di vaksin eh malah kena duluan,"['coba', 'ya', 'sistem', 'vaksinasi', 'kyak', 'sistem', 'coblos', 'pilkada', 'jadi', 'per', 'rt', 'rw', 'para', 'nakes', 'yg', 'nyamperin', 'bergiliran', 'juga', 'gpp', 'jadi', 'mengurangi', 'kerumunan', 'misalnya', 'hari', 'ini', 'rw', 'brp', 'aja', 'besok', 'beda', 'rw', 'kalo', 'sekarang', 'liat', 'orang', 'berkerumun', 'dengan', 'jumlah', 'banyak', 'untuk', 'vaksinasi', 'di', 'mall', 'duh', 'lebih', 'serem', 'deh', 'belum', 'di', 'vaksin', 'eh', 'malah', 'kena', 'duluan']","['coba', 'ya', 'sistem', 'vaksinasi', 'kyak', 'sistem', 'coblos', 'pilkada', 'rt', 'rw', 'nakes', 'yg', 'nyamperin', 'bergiliran', 'gpp', 'mengurangi', 'kerumunan', 'rw', 'brp', 'aja', 'besok', 'beda', 'rw', 'kalo', 'liat', 'orang', 'berkerumun', 'vaksinasi', 'mall', 'duh', 'serem', 'deh', 'vaksin', 'eh', 'kena', 'duluan']","['coba', 'ya', 'sistem', 'vaksinasi', 'kyak', 'sistem', 'coblos', 'pilkada', 'rt', 'rw', 'nakes', 'yg', 'nyamperin', 'gilir', 'gpp', 'kurang', 'kerumun', 'rw', 'brp', 'aja', 'besok', 'beda', 'rw', 'kalo', 'liat', 'orang', 'kerumun', 'vaksinasi', 'mall', 'duh', 'rem', 'deh', 'vaksin', 'eh', 'kena', 'duluan']",coba ya sistem vaksinasi kayak sistem coblos pilkada rt rw nakes yang samper gilir tidak apa apa kurang kerumun rw berapa aja besok beda rw kalau lihat orang kerumun vaksinasi mall aduh seram deh vaksin eh kena dulu
"Yang anak rantau KTP masih daerah asal jd anak tiri , padahal yg rantau paling gencer g boleh pulkam g boleh mudik. ?? tp sosialisasi dan pendaftaran vaksin cuma buat KTP setempat. Gimana yaaa gimana yaaaa",yang anak rantau ktp masih daerah asal jd anak tiri padahal yg rantau paling gencer g boleh pulkam g boleh mudik tp sosialisasi dan pendaftaran vaksin cuma buat ktp setempat gimana ya gimana yaa,yang anak rantau ktp masih daerah asal jd anak tiri padahal yg rantau paling gencer g boleh pulkam g boleh mudik tp sosialisasi dan pendaftaran vaksin cuma buat ktp setempat gimana ya gimana yaa,"['yang', 'anak', 'rantau', 'ktp', 'masih', 'daerah', 'asal', 'jd', 'anak', 'tiri', 'padahal', 'yg', 'rantau', 'paling', 'gencer', 'g', 'boleh', 'pulkam', 'g', 'boleh', 'mudik', 'tp', 'sosialisasi', 'dan', 'pendaftaran', 'vaksin', 'cuma', 'buat', 'ktp', 'setempat', 'gimana', 'ya', 'gimana', 'yaa']","['anak', 'rantau', 'ktp', 'daerah', 'jd', 'anak', 'tiri', 'yg', 'rantau', 'gencer', 'g', 'pulkam', 'g', 'mudik', 'tp', 'sosialisasi', 'pendaftaran', 'vaksin', 'ktp', 'gimana', 'ya', 'gimana', 'yaa']","['anak', 'rantau', 'ktp', 'daerah', 'jd', 'anak', 'tiri', 'yg', 'rantau', 'gencer', 'g', 'pulkam', 'g', 'mudik', 'tp', 'sosialisasi', 'daftar', 'vaksin', 'ktp', 'gimana', 'ya', 'gimana', 'yaa']",anak rantau ktp daerah jadi anak tiri yang rantau gencar tidak pulang kampung tidak mudik tapi sosialisasi daftar vaksin ktp bagaimana ya bagaimana ya
"Pak buk , saya mau tanya tentang berita* yg muncul setelah di vaksin lumpuh dll, itu apa yg sebenarnya terjad?",pak buk saya mau tanya tentang berita yg muncul setelah di vaksin lumpuh dll itu apa yg sebenarnya terjad,pak buk saya mau tanya tentang berita yg muncul setelah di vaksin lumpuh dll itu apa yg sebenarnya terjad,"['pak', 'buk', 'saya', 'mau', 'tanya', 'tentang', 'berita', 'yg', 'muncul', 'setelah', 'di', 'vaksin', 'lumpuh', 'dll', 'itu', 'apa', 'yg', 'sebenarnya', 'terjad']","['buk', 'berita', 'yg', 'muncul', 'vaksin', 'lumpuh', 'dll', 'yg', 'terjad']","['buk', 'berita', 'yg', 'muncul', 'vaksin', 'lumpuh', 'dll', 'yg', 'terjad']",ibu berita yang muncul vaksin lumpuh dll yang jadi
Ini saya bingung mau vaksin tapi slotnya penuh semua..,ini saya bingung mau vaksin tapi slotnya penuh semua,ini saya bingung mau vaksin tapi slotnya penuh semua,"['ini', 'saya', 'bingung', 'mau', 'vaksin', 'tapi', 'slotnya', 'penuh', 'semua']","['bingung', 'vaksin', 'slotnya', 'penuh']","['bingung', 'vaksin', 'slotnya', 'penuh']",bingung vaksin slot penuh
"Tadi coba daftar vaksin datang langusng tp panitianya gak respect, sedih banget dan akhirnya ttp gak dapat vaksin",tadi coba daftar vaksin datang langusng tp panitianya gak respect sedih banget dan akhirnya ttp gak dapat vaksin,tadi coba daftar vaksin datang langusng tp panitianya gak respect sedih banget dan akhirnya ttp gak dapat vaksin,"['tadi', 'coba', 'daftar', 'vaksin', 'datang', 'langusng', 'tp', 'panitianya', 'gak', 'respect', 'sedih', 'banget', 'dan', 'akhirnya', 'ttp', 'gak', 'dapat', 'vaksin']","['coba', 'daftar', 'vaksin', 'langusng', 'tp', 'panitianya', 'gak', 'respect', 'sedih', 'banget', 'ttp', 'gak', 'vaksin']","['coba', 'daftar', 'vaksin', 'langusng', 'tp', 'panitia', 'gak', 'respect', 'sedih', 'banget', 'ttp', 'gak', 'vaksin']",coba daftar vaksin langusng tapi panitia tidak harga sedih banget tetap tidak vaksin
Saya umr 19 thn blm bikin KTP jadi Ga Vaksin Gppa Mungkin ya ??,saya umr thn blm bikin ktp jadi ga vaksin gppa mungkin ya ,saya umr thn blm bikin ktp jadi ga vaksin gppa mungkin ya ,"['saya', 'umr', 'thn', 'blm', 'bikin', 'ktp', 'jadi', 'ga', 'vaksin', 'gppa', 'mungkin', 'ya']","['umr', 'thn', 'blm', 'bikin', 'ktp', 'ga', 'vaksin', 'gppa', 'ya']","['umr', 'thn', 'blm', 'bikin', 'ktp', 'ga', 'vaksin', 'gppa', 'ya']",umur tahun belum bikin ktp tidak vaksin tidak apa apa ya
"Katanya setelah vaksin pertama kalo positif covid harus ngulang. Dan bisa saja sebelum vaksin ada yg sudah terinfeksi/virus masih inkubasi, belum lagi dalam jarak dosis satu ke dosis kedua mungkin ada yg terinfeksi dari lingkungan rumah atau kerja. Nah kalo ternyata banyak yg ngulang gimana bisa 70% ya?",katanya setelah vaksin pertama kalo positif covid harus ngulang dan bisa saja sebelum vaksin ada yg sudah terinfeksivirus masih inkubasi belum lagi dalam jarak dosis satu ke dosis kedua mungkin ada yg terinfeksi dari lingkungan rumah atau kerja nah kalo ternyata banyak yg ngulang gimana bisa ya,katanya setelah vaksin pertama kalo positif covid harus ngulang dan bisa saja sebelum vaksin ada yg sudah terinfeksivirus masih inkubasi belum lagi dalam jarak dosis satu ke dosis kedua mungkin ada yg terinfeksi dari lingkungan rumah atau kerja nah kalo ternyata banyak yg ngulang gimana bisa ya,"['katanya', 'setelah', 'vaksin', 'pertama', 'kalo', 'positif', 'covid', 'harus', 'ngulang', 'dan', 'bisa', 'saja', 'sebelum', 'vaksin', 'ada', 'yg', 'sudah', 'terinfeksivirus', 'masih', 'inkubasi', 'belum', 'lagi', 'dalam', 'jarak', 'dosis', 'satu', 'ke', 'dosis', 'kedua', 'mungkin', 'ada', 'yg', 'terinfeksi', 'dari', 'lingkungan', 'rumah', 'atau', 'kerja', 'nah', 'kalo', 'ternyata', 'banyak', 'yg', 'ngulang', 'gimana', 'bisa', 'ya']","['vaksin', 'kalo', 'positif', 'covid', 'ngulang', 'vaksin', 'yg', 'terinfeksivirus', 'inkubasi', 'jarak', 'dosis', 'dosis', 'yg', 'terinfeksi', 'lingkungan', 'rumah', 'kerja', 'kalo', 'yg', 'ngulang', 'gimana', 'ya']","['vaksin', 'kalo', 'positif', 'covid', 'ngulang', 'vaksin', 'yg', 'terinfeksivirus', 'inkubasi', 'jarak', 'dosis', 'dosis', 'yg', 'infeksi', 'lingkung', 'rumah', 'kerja', 'kalo', 'yg', 'ngulang', 'gimana', 'ya']",vaksin kalau positif covid ulang vaksin yang infeksi virus inkubasi jarak dosis dosis yang infeksi lingkung rumah kerja kalau yang ulang bagaimana ya
